"Date","deep_mean","shal_mean","deep_n","shal_n","deep_dose","shal_dose","Rdt"
"2008-12-02",NA,NA,95,95,NA,NA,2008-12-02
"2008-12-03",4.42019375,91.8343125,288,288,0.38190474,7.9344846,2008-12-03
"2008-12-04",2.79560208333333,36.1882305555556,288,288,0.24154002,3.12666312,2008-12-04
"2008-12-05",17.7855236111111,146.241734722222,288,288,1.53666924,12.63528588,2008-12-05
"2008-12-06",25.3531166666667,144.969990277778,288,288,2.19050928,12.52540716,2008-12-06
"2008-12-07",3.66620138888889,108.231423611111,288,288,0.3167598,9.351195,2008-12-07
"2008-12-08",0.627503472222222,18.6630111111111,288,288,0.0542163,1.61248416,2008-12-08
"2008-12-09",4.18302708333333,48.0446652777778,288,288,0.36141354,4.15105908,2008-12-09
"2008-12-10",2.92604375,79.3952638888889,288,288,0.25281018,6.8597508,2008-12-10
"2008-12-11",2.24221319444444,99.7552791666667,288,288,0.19372722,8.61885612,2008-12-11
"2008-12-12",0.775732638888889,53.9797416666667,288,288,0.0670233,4.66384968,2008-12-12
"2008-12-13",1.43288194444444,39.3022291666667,288,288,0.123801,3.3957126,2008-12-13
"2008-12-14",2.44084027777778,71.0909986111111,288,288,0.2108886,6.14226228,2008-12-14
"2008-12-15",1.09887222222222,43.9211791666667,288,288,0.09494256,3.79478988,2008-12-15
"2008-12-16",1.25599513888889,60.1536736111111,288,288,0.10851798,5.1972774,2008-12-16
"2008-12-17",8.63484305555555,125.0675125,288,288,0.74605044,10.80583308,2008-12-17
"2008-12-18",10.5440347222222,78.0888208333333,288,288,0.9110046,6.74687412,2008-12-18
"2008-12-19",13.2833097222222,79.1515666666667,288,288,1.14767796,6.83869536,2008-12-19
"2008-12-20",4.82140069444444,22.7453430555556,288,288,0.41656902,1.96519764,2008-12-20
"2008-12-21",2.74915694444444,75.1071611111111,288,288,0.23752716,6.48925872,2008-12-21
"2008-12-22",8.81963541666667,102.402056944444,288,288,0.7620165,8.84753772,2008-12-22
"2008-12-23",26.7069430555556,128.839977777778,288,288,2.30747988,11.13177408,2008-12-23
"2008-12-24",19.7549951388889,103.558408333333,288,288,1.70683158,8.94744648,2008-12-24
"2008-12-25",11.384,57.4681625,288,288,0.9835776,4.96524924,2008-12-25
"2008-12-26",3.99329375,100.0482,288,288,0.34502058,8.64416448,2008-12-26
"2008-12-27",13.3722472222222,108.510626388889,288,288,1.15536216,9.37531812,2008-12-27
"2008-12-28",17.6748458333333,83.5300472222222,288,288,1.52710668,7.21699608,2008-12-28
"2008-12-29",25.0843277777778,138.6266,288,288,2.16728592,11.97733824,2008-12-29
"2008-12-30",13.6272013888889,104.306445833333,288,288,1.1773902,9.01207692,2008-12-30
"2008-12-31",13.8841319444444,89.6273194444444,288,288,1.199589,7.7438004,2008-12-31
"2009-01-01",10.4471916666667,74.876375,288,288,0.90263736,6.4693188,2009-01-01
"2009-01-02",11.4472444444444,74.6213805555556,288,288,0.98904192,6.44728728,2009-01-02
"2009-01-03",13.0412020833333,40.7676402777778,288,288,1.12675986,3.52232412,2009-01-03
"2009-01-04",13.9908569444444,51.6178152777778,288,288,1.20881004,4.45977924,2009-01-04
"2009-01-05",17.5483569444444,65.5093638888889,288,288,1.51617804,5.66000904,2009-01-05
"2009-01-06",8.55183472222222,35.1488861111111,288,288,0.73887852,3.03686376,2009-01-06
"2009-01-07",21.3884805555556,85.0737319444444,288,288,1.84796472,7.35037044,2009-01-07
"2009-01-08",11.4541618055556,80.4846388888889,288,288,0.98963958,6.9538728,2009-01-08
"2009-01-09",5.84615833333333,27.4223930555556,288,288,0.50510808,2.36929476,2009-01-09
"2009-01-10",9.86020416666667,67.9205138888889,288,288,0.85192164,5.8683324,2009-01-10
"2009-01-11",10.7060986111111,72.5289736111111,288,288,0.92500692,6.26650332,2009-01-11
"2009-01-12",1.20757361111111,63.6533916666667,288,288,0.10433436,5.49965304,2009-01-12
"2009-01-13",1.8321125,61.7280222222222,288,288,0.15829452,5.33330112,2009-01-13
"2009-01-14",0.406147916666667,64.2489166666667,288,288,0.03509118,5.5511064,2009-01-14
"2009-01-15",1.05934444444444,65.8644194444445,288,288,0.09152736,5.69068584,2009-01-15
"2009-01-16",0.31128125,18.9252680555556,288,288,0.0268947,1.63514316,2009-01-16
"2009-01-17",0.328080555555556,13.3694555555556,288,288,0.02834616,1.15512096,2009-01-17
"2009-01-18",6.57248125,30.517025,288,288,0.56786238,2.63667096,2009-01-18
"2009-01-19",4.93800763888889,44.9823111111111,288,288,0.42664386,3.88647168,2009-01-19
"2009-01-20",2.79659027777778,31.3554402777778,288,288,0.2416254,2.70911004,2009-01-20
"2009-01-21",NA,NA,204,204,NA,NA,2009-01-21
"2009-01-22",17.2998777777778,98.9655,288,288,1.49470944,8.5506192,2009-01-22
"2009-01-23",25.5839125,128.161111111111,288,288,2.21045004,11.07312,2009-01-23
"2009-01-24",33.4023319444444,134.860055555556,288,288,2.88596148,11.6519088,2009-01-24
"2009-01-25",11.2264027777778,80.4279444444444,288,288,0.9699612,6.9489744,2009-01-25
"2009-01-26",24.4550402777778,118.568388888889,288,288,2.11291548,10.2443088,2009-01-26
"2009-01-27",7.97955972222222,73.1066111111111,288,288,0.68943396,6.3164112,2009-01-27
"2009-01-28",14.5515902777778,83.4076666666667,288,288,1.2572574,7.2064224,2009-01-28
"2009-01-29",7.11242916666667,37.7749444444444,288,288,0.61451388,3.2637552,2009-01-29
"2009-01-30",2.91209861111111,23.1426666666667,288,288,0.25160532,1.9995264,2009-01-30
"2009-01-31",4.32496944444444,29.2201666666667,288,288,0.37367736,2.5246224,2009-01-31
"2009-02-01",12.7176180555556,82.4755,288,288,1.0988022,7.1258832,2009-02-01
"2009-02-02",5.74318194444444,73.6836666666667,288,288,0.49621092,6.3662688,2009-02-02
"2009-02-03",11.0029430555556,65.3857777777778,288,288,0.95065428,5.6493312,2009-02-03
"2009-02-04",8.71047777777778,51.4231111111111,288,288,0.75258528,4.4429568,2009-02-04
"2009-02-05",8.08550277777778,69.0096111111111,288,288,0.69858744,5.9624304,2009-02-05
"2009-02-06",7.227275,48.0127222222222,288,288,0.62443656,4.1482992,2009-02-06
"2009-02-07",6.5301875,38.3000555555556,288,288,0.5642082,3.3091248,2009-02-07
"2009-02-08",5.9372625,36.6916666666667,288,288,0.51297948,3.17016,2009-02-08
"2009-02-09",3.68040833333333,18.7330555555556,288,288,0.31798728,1.618536,2009-02-09
"2009-02-10",5.64169027777778,31.0561666666667,288,288,0.48744204,2.6832528,2009-02-10
"2009-02-11",12.4487541666667,56.4286666666667,288,288,1.07557236,4.8754368,2009-02-11
"2009-02-12",2.15714305555556,15.6532222222222,288,288,0.18637716,1.3524384,2009-02-12
"2009-02-13",7.15605277777778,48.0193333333333,288,288,0.61828296,4.1488704,2009-02-13
"2009-02-14",1.18763055555556,44.9961666666667,288,288,0.10261128,3.8876688,2009-02-14
"2009-02-15",8.33210972222222,66.2848888888889,288,288,0.71989428,5.7270144,2009-02-15
"2009-02-16",5.67195972222222,45.1066666666667,288,288,0.49005732,3.897216,2009-02-16
"2009-02-17",6.20345555555556,62.3314444444444,288,288,0.53597856,5.3854368,2009-02-17
"2009-02-18",4.39352083333333,43.0865,288,288,0.3796002,3.7226736,2009-02-18
"2009-02-19",NA,NA,204,204,NA,NA,2009-02-19
"2009-02-20",1.56063055555556,7.96287083333333,288,288,0.13483848,0.68799204,2009-02-20
"2009-02-21",0.0234013888888889,5.88173333333333,288,288,0.00202188,0.50818176,2009-02-21
"2009-02-22",0.000806944444444444,4.49233194444444,288,288,6.972e-05,0.38813748,2009-02-22
"2009-02-23",0.0346986111111111,11.3177909722222,288,288,0.00299796,0.97785714,2009-02-23
"2009-02-24",0.0242083333333333,9.88688541666667,288,288,0.0020916,0.8542269,2009-02-24
"2009-02-25",0.444626388888889,40.946825,288,288,0.03841572,3.53780568,2009-02-25
"2009-02-26",2.21344861111111,45.3561486111111,288,288,0.19124196,3.91877124,2009-02-26
"2009-02-27",8.44790138888889,59.7946576388889,288,288,0.72989868,5.16625842,2009-02-27
"2009-02-28",3.01716527777778,4.5358125,288,288,0.26068308,0.3918942,2009-02-28
"2009-03-01",0.0839222222222222,19.0830229166667,288,288,0.00725088,1.64877318,2009-03-01
"2009-03-02",0.671377777777778,24.0289361111111,288,288,0.05800704,2.07610008,2009-03-02
"2009-03-03",4.65364861111111,67.0045243055555,288,288,0.40207524,5.7891909,2009-03-03
"2009-03-04",3.51505,68.979925,288,288,0.30370032,5.95986552,2009-03-04
"2009-03-05",3.04379444444444,48.6330013888889,288,288,0.26298384,4.20189132,2009-03-05
"2009-03-06",0.156547222222222,14.0353256944444,288,288,0.01352568,1.21265214,2009-03-06
"2009-03-07",2.29010833333333,36.5839465277778,288,288,0.19786536,3.16085298,2009-03-07
"2009-03-08",3.08252777777778,33.0837618055556,288,288,0.2663304,2.85843702,2009-03-08
"2009-03-09",2.70003611111111,38.2727708333333,288,288,0.23328312,3.3067674,2009-03-09
"2009-03-10",1.48639166666667,21.3785986111111,288,288,0.12842424,1.84711092,2009-03-10
"2009-03-11",0.336495833333333,12.7111451388889,288,288,0.02907324,1.09824294,2009-03-11
"2009-03-12",1.33791388888889,17.6758340277778,288,288,0.11559576,1.52719206,2009-03-12
"2009-03-13",0.00484166666666667,10.2317652777778,288,288,0.00041832,0.88402452,2009-03-13
"2009-03-14",0.398630555555556,13.7635722222222,288,288,0.03444168,1.18917264,2009-03-14
"2009-03-15",3.34881944444444,35.53053125,288,288,0.289338,3.0698379,2009-03-15
"2009-03-16",3.57476388888889,26.5676076388889,288,288,0.3088596,2.2954413,2009-03-16
"2009-03-17",1.24269444444444,21.47840625,288,288,0.1073688,1.8557343,2009-03-17
"2009-03-18",1.39843472222222,13.7556666666667,288,288,0.12082476,1.1884896,2009-03-18
"2009-03-19",4.3211875,18.1758604166667,288,288,0.3733506,1.57039434,2009-03-19
"2009-03-20",5.71316666666667,25.32050625,288,288,0.4936176,2.18769174,2009-03-20
"2009-03-21",5.24029722222222,25.2661555555556,288,288,0.45276168,2.18299584,2009-03-21
"2009-03-22",0,2.88256319444444,288,288,0,0.24905346,2009-03-22
"2009-03-23",0.185597222222222,10.636925,288,288,0.0160356,0.91903032,2009-03-23
"2009-03-24",0.333268055555556,13.2161125,288,288,0.02879436,1.14187212,2009-03-24
"2009-03-25",0.590683333333333,12.4354388888889,288,288,0.05103504,1.07442192,2009-03-25
"2009-03-26",2.24556825396825,14.5943305555556,252,252,0.16976496,1.10333139,2009-03-26
"2009-03-27",1.23311006944444,7.911640625,288,288,0.10654071,0.68356575,2009-03-27
"2009-03-28",7.81756875,29.7677260416667,288,288,0.67543794,2.57193153,2009-03-28
"2009-03-29",7.58963333333333,38.5299274305556,288,288,0.65574432,3.32898573,2009-03-29
"2009-03-30",3.44572638888889,14.6315458333333,288,288,0.29771076,1.26416556,2009-03-30
"2009-03-31",4.20243090277778,27.9135986111111,288,288,0.36309003,2.41173492,2009-03-31
"2009-04-01",1.34605104166667,21.0245315972222,288,288,0.11629881,1.81651953,2009-04-01
"2009-04-02",2.75781319444444,22.8254395833333,288,288,0.23827506,1.97211798,2009-04-02
"2009-04-03",9.85255972222222,29.3885375,288,288,0.85126116,2.53916964,2009-04-03
"2009-04-04",5.27537013888889,24.2756694444444,288,288,0.45579198,2.09741784,2009-04-04
"2009-04-05",3.13359861111111,14.9708197916667,288,288,0.27074292,1.29347883,2009-04-05
"2009-04-06",2.21775,10.1706159722222,288,288,0.1916136,0.87874122,2009-04-06
"2009-04-07",3.31122395833333,13.0311611111111,288,288,0.28608975,1.12589232,2009-04-07
"2009-04-08",2.40564270833333,10.9137875,288,288,0.20784753,0.94295124,2009-04-08
"2009-04-09",1.22592291666667,6.34451805555556,288,288,0.10591974,0.54816636,2009-04-09
"2009-04-10",0,0.893326388888889,288,288,0,0.0771834,2009-04-10
"2009-04-11",0.178652083333333,8.32314097222222,288,288,0.01543554,0.71911938,2009-04-11
"2009-04-12",4.684996875,26.1240947916667,288,288,0.40478373,2.25712179,2009-04-12
"2009-04-13",3.39746979166667,26.3550291666667,288,288,0.29354139,2.27707452,2009-04-13
"2009-04-14",5.45196875,30.4605291666667,288,288,0.4710501,2.63178972,2009-04-14
"2009-04-15",1.22181597222222,15.3766180555556,288,288,0.1055649,1.3285398,2009-04-15
"2009-04-16",1.14789097222222,12.6244125,288,288,0.09917778,1.09074924,2009-04-16
"2009-04-17",1.24953784722222,13.6023197916667,288,288,0.10796007,1.17524043,2009-04-17
"2009-04-18",0.585239583333333,8.53791944444444,288,288,0.0505647,0.73767624,2009-04-18
"2009-04-19",0.0451763888888889,5.23356215277778,288,288,0.00390324,0.45217977,2009-04-19
"2009-04-20",0.346010069444444,8.1083625,288,288,0.02989527,0.70056252,2009-04-20
"2009-04-21",0.00718715277777778,1.89309166666667,288,288,0.00062097,0.16356312,2009-04-21
"2009-04-22",0.380919097222222,7.15991597222222,288,288,0.03291141,0.61861674,2009-04-22
"2009-04-23",NA,NA,139,139,NA,NA,2009-04-23
"2009-04-24",NA,NA,0,0,NA,NA,2009-04-24
"2009-04-25",NA,NA,0,0,NA,NA,2009-04-25
"2009-04-26",NA,NA,0,0,NA,NA,2009-04-26
"2009-04-27",NA,NA,0,0,NA,NA,2009-04-27
"2009-04-28",NA,NA,0,0,NA,NA,2009-04-28
"2009-04-29",NA,NA,0,0,NA,NA,2009-04-29
"2009-04-30",NA,NA,0,0,NA,NA,2009-04-30
"2009-05-01",NA,NA,0,0,NA,NA,2009-05-01
"2009-05-02",NA,NA,0,0,NA,NA,2009-05-02
"2009-05-03",NA,NA,0,0,NA,NA,2009-05-03
"2009-05-04",NA,NA,0,0,NA,NA,2009-05-04
"2009-05-05",NA,NA,0,0,NA,NA,2009-05-05
"2009-05-06",NA,NA,0,0,NA,NA,2009-05-06
"2009-05-07",NA,NA,0,0,NA,NA,2009-05-07
"2009-05-08",NA,NA,0,0,NA,NA,2009-05-08
"2009-05-09",NA,NA,0,0,NA,NA,2009-05-09
"2009-05-10",NA,NA,0,0,NA,NA,2009-05-10
"2009-05-11",NA,NA,0,0,NA,NA,2009-05-11
"2009-05-12",NA,NA,0,0,NA,NA,2009-05-12
"2009-05-13",NA,NA,0,0,NA,NA,2009-05-13
"2009-05-14",NA,NA,0,0,NA,NA,2009-05-14
"2009-05-15",NA,NA,0,0,NA,NA,2009-05-15
"2009-05-16",NA,NA,0,0,NA,NA,2009-05-16
"2009-05-17",NA,NA,0,0,NA,NA,2009-05-17
"2009-05-18",NA,NA,0,0,NA,NA,2009-05-18
"2009-05-19",NA,NA,150,167,NA,NA,2009-05-19
"2009-05-20",0,2.08886319444444,288,288,0,0.18047778,2009-05-20
"2009-05-21",0.223828472222222,6.17155486111111,288,288,0.01933878,0.53322234,2009-05-21
"2009-05-22",0.009240625,4.81635972222222,288,288,0.00079839,0.41613348,2009-05-22
"2009-05-23",0,0.441911458333333,288,288,0,0.03818115,2009-05-23
"2009-05-24",0.00308020833333333,1.46163402777778,288,288,0.00026613,0.12628518,2009-05-24
"2009-05-25",0,0.907581597222222,288,288,0,0.07841505,2009-05-25
"2009-05-26",0.00616041666666667,4.17962708333333,288,288,0.00053226,0.36111978,2009-05-26
"2009-05-27",0,9.72965486111111,288,288,0,0.84064218,2009-05-27
"2009-05-28",0,11.1580267361111,288,288,0,0.96405351,2009-05-28
"2009-05-29",0.106780555555556,15.9743864583333,288,288,0.00922584,1.38018699,2009-05-29
"2009-05-30",0.0266951388888889,9.11382986111111,288,288,0.00230646,0.7874349,2009-05-30
"2009-05-31",0.0359357638888889,4.80020381944444,288,288,0.00310485,0.41473761,2009-05-31
"2009-06-01",0.104727083333333,7.84796736111111,288,288,0.00904842,0.67806438,2009-06-01
"2009-06-02",0.256684027777778,6.31505729166667,288,288,0.0221775,0.54562095,2009-06-02
